activity,sport_and_discipline
1-1 Ski,SNOWSPORT SKIING
11-a-side,FOOTBALL
13-17 years Safe Summer Swim,SWIMMING
2-1 Ski,SNOWSPORT SKIING
20-20-20,No Match
3G - 5-a-side Pitch,No Match
3G Pitch Hire,No Match
5 A Side,FOOTBALL
5 A Side ATP,FOOTBALL
5 A Side Football,FOOTBALL
5-a-Side Football,FOOTBALL
5-a-side,FOOTBALL
50+,No Match
50+ Badminton,BADMINTON
50+ Classes,EXERCISE AND FITNESS
6-a-side,No Match
7 A Side Football (Adult),FOOTBALL
7 A Side Football (Adult-Caged),FOOTBALL
7-a-side,FOOTBALL
8-a-side,No Match
ABS,EXERCISE AND FITNESS
AWP 1/3 Hire Weekday,No Match
AWP 1/3 Hire Weekend,No Match
Ability Counts,No Match
Abs,EXERCISE AND FITNESS
Abs & Core,EXERCISE AND FITNESS
Abs Blast Express,EXERCISE AND FITNESS
Abs/Core,EXERCISE AND FITNESS
Abseiling,MOUNTAINEERING
Access All Areas,No Match
Acting,No Match
Active Living Circuit - Cardiac,EXERCISE AND FITNESS
Active Living Gym - COPD,EXERCISE AND FITNESS
Active Living Gym - Cardiac,EXERCISE AND FITNESS
Active Seniors,No Match
Activities,No Match
Activity Holiday Camp,No Match
Adult 5 v 5 Football Pitches,FOOTBALL
Adult 7 v 7 Football Pitches ,FOOTBALL
Adult Activities,No Match
Adult Badminton,BADMINTON
Adult Beginners Tennis (16yrs+),TENNIS
Adult Climbing Club,MOUNTAINEERING
Adult Grass Pitch,No Match
Adult Gym Induction,No Match
Adult Intermediate+ Tennis (16yrs+),TENNIS
Adult Only Casual Swimming,SWIMMING
Adult Pickleball,No Match
Adult Premium 11 v 11,FOOTBALL
Adult Premium Half 11 v 11,FOOTBALL
Adult Standard 11 v 11,FOOTBALL
Adult Standard Half 11 v 11,FOOTBALL
Adult Swimming Lessons,SWIMMING
Adult Tennis ,TENNIS
Adventure Golf,GOLF
Aerial,EXERCISE AND FITNESS
Aerial Discipline,EXERCISE AND FITNESS
Aerial Hoop,EXERCISE AND FITNESS
Aerial Silks,EXERCISE AND FITNESS
Aerobics,EXERCISE AND FITNESS
Aerobics - Senior,EXERCISE AND FITNESS
Aerobics Gold,EXERCISE AND FITNESS
Aerobics and Cardio,EXERCISE AND FITNESS
African Dance,DANCE
Afrobeats,DANCE
Aikido,AIKIDO
Airsoft Target Shooting,SHOOTING
Alive HIIT,EXERCISE AND FITNESS
Alive Total Conditioning,EXERCISE AND FITNESS
American Football,AMERICAN FOOTBALL
Angling,ANGLING
Animal Flow®,EXERCISE AND FITNESS
Aqua,EXERCISE AND FITNESS
Aqua Aerobics,EXERCISE AND FITNESS
Aqua Challenge - Inflatable Obstacle Course,EXERCISE AND FITNESS
Aqua Challenge Party,EXERCISE AND FITNESS
Aqua Classes,EXERCISE AND FITNESS
Aqua Dance,EXERCISE AND FITNESS
Aqua Express,EXERCISE AND FITNESS
Aqua Fit,EXERCISE AND FITNESS
Aqua Fit (Deep Water),EXERCISE AND FITNESS
Aqua Fit (Shallow Water),EXERCISE AND FITNESS
Aqua Fit For Ladies,EXERCISE AND FITNESS
